url,filename,site,external_domain,file_size_bytes,file_size_human,status,crawled_at,published_date,doc_title,author,subject,keywords,description,accessible,totally_inaccessible,broken,tagged,empty_text,protected,title,language,bookmarks,tagged_content,forms,tagged_form_fields,tagged_annotations,figures_alt_text,headings,lists,tables,exempt,pages,words,images,errors
https://pmc.ncbi.nlm.nih.gov/articles/PMC7301291/pdf/10.1177_1090198120922942.pdf,10.1177_1090198120922942.pdf,lib.pstcc.edu,pmc.ncbi.nlm.nih.gov,1817,1.8 KB,analysed,2026-07-09T20:45:44.899440+00:00,,,,,,,,False,True,,,,,,,,,,,,,,,False,,,,PdfError: crawled_files/lib.pstcc.edu/10.1177_1090198120922942.pdf: unable to find trailer dictionary while recovering damaged file
https://cdn.thomasnet.com/ccp/10076910/184368.pdf,184368.pdf,lib.pstcc.edu,cdn.thomasnet.com,770097,752.0 KB,analysed,2026-07-09T20:45:44.905691+00:00,2014-04-02 19:14:04+00:00,,,,,,False,False,False,Fail,Pass,Pass,Fail,Fail,Pass,Fail,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,True,3,680,5,"title, tagged, lang, "
https://www.loc.gov/static/programs/teachers/getting-started-with-primary-sources/documents/Analyzing_Primary_Sources.pdf,Analyzing_Primary_Sources.pdf,lib.pstcc.edu,loc.gov,49771,48.6 KB,analysed,2026-07-09T20:45:44.909706+00:00,2012-11-14 14:50:24+00:00,Teacher's Guide: Analyzing Primary Sources | Teacher Resources - Library of Congress,,,,,False,False,False,Pass,Pass,Pass,Fail,Fail,Pass,Fail,NotApplicable,NotApplicable,NotApplicable,Pass,Pass,NotApplicable,NotApplicable,True,1,360,1,"title, tagged-content-fail, lang, "
https://storycorpsorg-staging.s3.amazonaws.com/uploads/Getting-Started.pdf,Getting-Started.pdf,lib.pstcc.edu,storycorpsorg-staging.s3.amazonaws.com,703692,687.2 KB,analysed,2026-07-09T20:45:44.913885+00:00,2017-09-18 15:22:39+00:00,,,,,,False,False,False,Pass,Pass,Pass,Fail,Pass,Pass,Pass,NotApplicable,NotApplicable,NotApplicable,Fail,Warn,NotApplicable,NotApplicable,True,1,379,3,"title, figures missing alt text (count=11), headings-none, "
https://storycorpsorg-staging.s3.amazonaws.com/uploads/Improve-Sound-Quality.pdf,Improve-Sound-Quality.pdf,lib.pstcc.edu,storycorpsorg-staging.s3.amazonaws.com,502589,490.8 KB,analysed,2026-07-09T20:45:44.917197+00:00,2017-09-14 16:35:24+00:00,,,,,,False,False,False,Pass,Pass,Pass,Fail,Pass,Pass,Pass,NotApplicable,NotApplicable,NotApplicable,Fail,Warn,NotApplicable,NotApplicable,True,1,189,6,"title, figures missing alt text (count=12), headings-none, "
https://storycorpsorg-staging.s3.amazonaws.com/uploads/Interview-Tips.pdf,Interview-Tips.pdf,lib.pstcc.edu,storycorpsorg-staging.s3.amazonaws.com,511609,499.6 KB,analysed,2026-07-09T20:45:44.920430+00:00,2017-09-18 16:10:33+00:00,,,,,,False,False,False,Pass,Pass,Pass,Fail,Pass,Pass,Pass,NotApplicable,NotApplicable,NotApplicable,Fail,Warn,NotApplicable,NotApplicable,True,1,462,3,"title, figures missing alt text (count=13), headings-none, "
https://cccse.org/sites/default/files/Mission_Critical.pdf,Mission_Critical.pdf,lib.pstcc.edu,cccse.org,9395665,9.0 MB,analysed,2026-07-09T20:45:44.944071+00:00,2022-10-14 23:00:54+00:00,Mission Critical: The Role of Community Colleges in Meeting Students’ Basic Needs,,,,,False,False,False,Pass,Pass,Pass,Pass,Pass,Fail,Pass,NotApplicable,NotApplicable,Fail,Pass,Warn,Fail,NotApplicable,False,33,9442,41,"no bookmarks and more than 20 pages, headings-none, lists-fail, annotations-tagging-fail, "
https://uthort.tennessee.edu/wp-content/uploads/sites/228/2023/11/W346-A.pdf,W346-A.pdf,lib.pstcc.edu,uthort.tennessee.edu,2644863,2.5 MB,analysed,2026-07-09T20:45:44.953636+00:00,2016-11-02 22:47:56+00:00,,,,,,False,False,False,Pass,Pass,Pass,Fail,Fail,Pass,Pass,NotApplicable,NotApplicable,NotApplicable,Fail,Warn,NotApplicable,NotApplicable,True,5,2158,5,"title, lang, figures missing alt text (count=7), headings-none, "
https://uthort.tennessee.edu/wp-content/uploads/sites/228/2023/11/W346-B.pdf,W346-B.pdf,lib.pstcc.edu,uthort.tennessee.edu,3741511,3.6 MB,analysed,2026-07-09T20:45:44.965426+00:00,2016-11-02 22:47:36+00:00,,,,,,False,False,False,Pass,Pass,Pass,Fail,Fail,Pass,Pass,NotApplicable,NotApplicable,NotApplicable,Fail,Warn,NotApplicable,Fail,True,7,3441,8,"title, lang, figures missing alt text (count=7), headings-none, tables-fail, "
https://uthort.tennessee.edu/wp-content/uploads/sites/228/2023/11/W346-D.pdf,W346-D.pdf,lib.pstcc.edu,uthort.tennessee.edu,5735774,5.5 MB,analysed,2026-07-09T20:45:44.981485+00:00,2016-11-02 22:48:43+00:00,,,,,,False,False,False,Pass,Pass,Pass,Fail,Fail,Pass,Pass,NotApplicable,NotApplicable,NotApplicable,Fail,Warn,NotApplicable,Fail,True,7,3747,8,"title, lang, figures missing alt text (count=7), headings-none, tables-fail, "
https://uthort.tennessee.edu/wp-content/uploads/sites/228/2023/11/W346-F.pdf,W346-F.pdf,lib.pstcc.edu,uthort.tennessee.edu,2187722,2.1 MB,analysed,2026-07-09T20:45:44.989513+00:00,2016-06-15 13:28:47+00:00,,,,,,False,False,False,Pass,Pass,Pass,Fail,Fail,Pass,Pass,NotApplicable,NotApplicable,NotApplicable,Fail,Warn,NotApplicable,NotApplicable,True,7,3289,4,"title, lang, figures missing alt text (count=5), headings-none, "
https://uthort.tennessee.edu/wp-content/uploads/sites/228/2023/11/W346-G.pdf,W346-G.pdf,lib.pstcc.edu,uthort.tennessee.edu,8046406,7.7 MB,analysed,2026-07-09T20:45:45.010723+00:00,2016-10-28 14:34:01+00:00,,,,,,False,False,False,Pass,Pass,Pass,Fail,Fail,Pass,Pass,NotApplicable,NotApplicable,Pass,Fail,Warn,NotApplicable,Fail,True,8,3996,5,"title, lang, figures missing alt text (count=6), headings-none, tables-fail, "
https://www.asme.org/wwwasmeorg/media/resourcefiles/aboutasme/who%20we%20are/standards_and_certification/asme_codes_and_standards-examples_of_use_for_mechanical_engineering_students.pdf,asme_codes_and_standards-examples_of_use_for_mechanical_engineering_students.pdf,lib.pstcc.edu,asme.org,6490409,6.2 MB,analysed,2026-07-09T20:45:45.028910+00:00,2021-08-23 13:29:26+00:00,,,,,,False,False,False,Pass,Pass,Pass,Fail,Fail,Fail,Pass,NotApplicable,NotApplicable,NotApplicable,Fail,Warn,NotApplicable,Fail,False,34,9849,38,"title, lang, no bookmarks and more than 20 pages, figures missing alt text (count=36), headings-none, tables-fail, "
https://copyright.gov/circs/circ61.pdf,circ61.pdf,lib.pstcc.edu,copyright.gov,111460,108.8 KB,analysed,2026-07-09T20:45:45.032528+00:00,2021-02-25 16:58:46+00:00,Circular 61 Copyright Registration of Computer Programs,United States Copyright Office,"{'Copyright', 'copyright education', 'registration', 'computer programs'}",,copyright information circular,False,False,False,Fail,Pass,Pass,Fail,Pass,Pass,Fail,NotApplicable,NotApplicable,Fail,NotApplicable,NotApplicable,NotApplicable,NotApplicable,False,8,3276,0,"title, tagged, annotations-untagged, "
https://pmc.ncbi.nlm.nih.gov/articles/PMC7454923/pdf/gbaa114.pdf,gbaa114.pdf,lib.pstcc.edu,pmc.ncbi.nlm.nih.gov,1816,1.8 KB,analysed,2026-07-09T20:45:45.035175+00:00,,,,,,,,False,True,,,,,,,,,,,,,,,False,,,,PdfError: crawled_files/lib.pstcc.edu/gbaa114.pdf: unable to find trailer dictionary while recovering damaged file
https://www.ala.org/sites/default/files/acrl/content/publications/whitepapers/principles.pdf,principles.pdf,lib.pstcc.edu,ala.org,55288,54.0 KB,analysed,2026-07-09T20:45:45.037637+00:00,2000-07-14 15:41:50-05:00,principles,dmueller,principles,,,False,False,False,Fail,Pass,Pass,Fail,Fail,Pass,Fail,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,True,1,518,0,"title, tagged, lang, "
