url,filename,site,external_domain,file_size_bytes,file_size_human,status,crawled_at,published_date,doc_title,author,subject,keywords,description,accessible,totally_inaccessible,broken,tagged,empty_text,protected,title,language,bookmarks,tagged_content,forms,tagged_form_fields,tagged_annotations,figures_alt_text,headings,lists,tables,exempt,pages,words,images,errors
https://irishimmigration.ie/40d69f4ec2f9651beb365b14040b4955.pdf,40d69f4ec2f9651beb365b14040b4955.pdf,irishimmigration.ie,,657782,642.4 KB,analysed,2026-09-02T12:10:18.361831+00:00,2020-12-21 16:26:20+00:00,,,,,,False,False,False,Fail,Pass,Pass,Fail,Fail,Fail,Fail,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,False,71,15412,2,"title, tagged, lang, no bookmarks and more than 20 pages, "
https://irishimmigration.ie/AAP-FAQs.pdf,AAP-FAQs.pdf,irishimmigration.ie,,560559,547.4 KB,analysed,2026-09-02T12:10:18.366991+00:00,2022-02-22 12:24:06+00:00,,Sean S. Thompson,,,,False,False,False,Pass,Pass,Pass,Fail,Pass,Pass,Pass,NotApplicable,NotApplicable,Pass,Fail,Warn,Pass,Fail,False,10,2630,10,"title, figures missing alt text (count=10), headings-none, tables-fail, "
https://irishimmigration.ie/AWS-Entertainment-Training-Material.pdf,AWS-Entertainment-Training-Material.pdf,irishimmigration.ie,,1602914,1.5 MB,analysed,2026-09-02T12:10:18.373400+00:00,2023-10-23 13:20:47+00:00,Department of Business Enterprise & Innovation,Deirdre Langton,,,,False,False,False,Pass,Pass,Pass,Fail,Pass,Fail,Pass,NotApplicable,NotApplicable,Pass,Fail,Warn,Pass,NotApplicable,False,51,2995,94,"title, no bookmarks and more than 20 pages, figures missing alt text (count=71), headings-none, "
https://irishimmigration.ie/AWS-General-Training-Material.pdf,AWS-General-Training-Material.pdf,irishimmigration.ie,,1843252,1.8 MB,analysed,2026-09-02T12:10:18.379892+00:00,2023-10-23 13:23:09+00:00,Department of Business Enterprise & Innovation,Deirdre Langton,,,,False,False,False,Pass,Pass,Pass,Fail,Pass,Fail,Pass,NotApplicable,NotApplicable,Pass,Fail,Warn,Pass,NotApplicable,False,52,2910,96,"title, no bookmarks and more than 20 pages, figures missing alt text (count=72), headings-none, "
https://irishimmigration.ie/AWS-IMGTI-Training-Material.pdf,AWS-IMGTI-Training-Material.pdf,irishimmigration.ie,,1778912,1.7 MB,analysed,2026-09-02T12:10:18.386495+00:00,2023-10-23 13:21:30+00:00,Department of Business Enterprise & Innovation,Deirdre Langton,,,,False,False,False,Pass,Pass,Pass,Fail,Pass,Fail,Pass,NotApplicable,NotApplicable,Pass,Fail,Warn,Pass,NotApplicable,False,53,2924,97,"title, no bookmarks and more than 20 pages, figures missing alt text (count=75), headings-none, "
https://irishimmigration.ie/AWS-Locum-GP-Training-Material.pdf,AWS-Locum-GP-Training-Material.pdf,irishimmigration.ie,,1587127,1.5 MB,analysed,2026-09-02T12:10:18.392967+00:00,2023-10-23 13:22:07+00:00,Department of Business Enterprise & Innovation,Deirdre Langton,,,,False,False,False,Pass,Pass,Pass,Fail,Pass,Fail,Pass,NotApplicable,NotApplicable,Pass,Fail,Warn,Pass,NotApplicable,False,52,2980,96,"title, no bookmarks and more than 20 pages, figures missing alt text (count=74), headings-none, "
https://irishimmigration.ie/AWS-Nurse-Training-Material.pdf,AWS-Nurse-Training-Material.pdf,irishimmigration.ie,,1745168,1.7 MB,analysed,2026-09-02T12:10:18.399684+00:00,2023-10-23 13:22:39+00:00,Department of Business Enterprise & Innovation,Deirdre Langton,,,,False,False,False,Pass,Pass,Pass,Fail,Pass,Fail,Pass,NotApplicable,NotApplicable,Pass,Fail,Warn,Pass,NotApplicable,False,57,3728,105,"title, no bookmarks and more than 20 pages, figures missing alt text (count=76), headings-none, "
https://irishimmigration.ie/Checklist-for-Directive-2004-38-EC.pdf,Checklist-for-Directive-2004-38-EC.pdf,irishimmigration.ie,,116825,114.1 KB,analysed,2026-09-02T12:10:18.402820+00:00,2025-11-11 17:30:18+00:00,,butlerpm,,,,False,False,False,Pass,Pass,Pass,Fail,Pass,Pass,Pass,NotApplicable,NotApplicable,NotApplicable,Pass,Warn,Pass,NotApplicable,False,2,512,0,"title, headings-none, "
https://irishimmigration.ie/Critical-Skills-De-Facto-Partners-Immigration-Permission-June2023.pdf,Critical-Skills-De-Facto-Partners-Immigration-Permission-June2023.pdf,irishimmigration.ie,,632304,617.5 KB,analysed,2026-09-02T12:10:18.406424+00:00,2023-06-28 11:23:08+00:00,,crossanb,,,,False,False,False,Pass,Pass,Pass,Fail,Pass,Pass,Pass,NotApplicable,NotApplicable,Pass,Fail,Pass,Pass,NotApplicable,False,8,2404,0,"title, figures missing alt text (count=1), "
https://irishimmigration.ie/DOJ-AAP-Appeal-June-2023.pdf,DOJ-AAP-Appeal-June-2023.pdf,irishimmigration.ie,,634266,619.4 KB,analysed,2026-09-02T12:10:18.409649+00:00,2023-06-09 09:28:22+00:00,,,,,,False,False,False,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Fail,Fail,NotApplicable,Fail,Warn,Pass,Fail,False,11,1765,0,"title, forms-fail, forms-tagging-fail, figures missing alt text (count=6), headings-none, tables-fail, "
