url,filename,site,external_domain,file_size_bytes,file_size_human,status,crawled_at,published_date,doc_title,author,subject,keywords,description,accessible,totally_inaccessible,broken,tagged,empty_text,protected,title,language,bookmarks,tagged_content,forms,tagged_form_fields,tagged_annotations,figures_alt_text,headings,lists,tables,exempt,pages,words,images,errors
https://open.overheid.nl/overheid/openbaarmakingen/api/v0/attachment/08ddc0dd-4f65-479f-aa37-aa636c62dcc8,08ddc0dd-4f65-479f-aa37-aa636c62dcc8.pdf,rijksoverheid.nl,open.overheid.nl,181417,177.2 KB,analysed,2026-09-25T20:35:02.965998+00:00,2026-07-15 06:44:34+00:00,,,,,,False,False,False,Pass,Pass,Pass,Fail,Pass,Pass,Pass,NotApplicable,NotApplicable,Pass,Pass,Warn,NotApplicable,NotApplicable,False,8,3126,2,"title, headings-none, "
https://open.overheid.nl/overheid/openbaarmakingen/api/v0/attachment/0a81ea62-08d0-42ba-b11c-e4bfa629c9c2,0a81ea62-08d0-42ba-b11c-e4bfa629c9c2.pdf,rijksoverheid.nl,open.overheid.nl,165611,161.7 KB,analysed,2026-09-25T20:35:02.971150+00:00,2026-07-15 07:18:14+00:00,,,,,,False,False,False,Pass,Pass,Pass,Fail,Pass,Pass,Pass,NotApplicable,NotApplicable,Pass,Pass,Warn,NotApplicable,NotApplicable,False,12,4792,2,"title, headings-none, "
https://open.overheid.nl/overheid/openbaarmakingen/api/v0/attachment/1047eb14-8e96-4ac8-abcf-a561dbf598a8,1047eb14-8e96-4ac8-abcf-a561dbf598a8.pdf,rijksoverheid.nl,open.overheid.nl,59897614,57.1 MB,error,2026-09-25T20:35:03.111762+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,"File not found: crawled_files/rijksoverheid.nl/1047eb14-8e96-4ac8-abcf-a561dbf598a8.pdf (crawled 0.2 day(s) ago at 2026-09-25T20:35:03.111762+00:00). Possible causes: failed download, incomplete artifact transfer, or stale manifest entry from a previous run."
https://open.overheid.nl/overheid/openbaarmakingen/api/v0/attachment/21d84295-8d25-4029-b30e-779095421b13,21d84295-8d25-4029-b30e-779095421b13.pdf,rijksoverheid.nl,open.overheid.nl,2009262,1.9 MB,analysed,2026-09-25T20:35:03.121448+00:00,2026-07-10 06:34:41+00:00,,,,,,False,True,False,Fail,Fail,Pass,Fail,Fail,Pass,Fail,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,False,8,0,8,"title, tagged, lang, "
https://finance.ec.europa.eu/document/download/23086e5f-c390-4412-9372-6ca082afd694_en?filename=faqs-sanctions-russia-central-bank_en.pdf,23086e5f-c390-4412-9372-6ca082afd694_en.pdf,rijksoverheid.nl,finance.ec.europa.eu,225445,220.2 KB,analysed,2026-09-25T20:35:03.126781+00:00,2023-10-31 11:13:56+00:00,Frequently asked questions on the Central Bank of Russia concerning sanctions adopted following Russia’s military aggression against Ukraine,European Commission,Frequently asked questions on the Central Bank of Russia concerning sanctions adopted following Russia’s military aggression against Ukraine,,Frequently asked questions on the Central Bank of Russia concerning sanctions adopted following Russia’s military aggression against Ukraine,False,False,False,Pass,Pass,Pass,Pass,Pass,Pass,Fail,NotApplicable,NotApplicable,Pass,Pass,Pass,Pass,NotApplicable,False,4,1311,0,"tagged-content-fail, "
https://www.rijksoverheid.nl/site/binaries/site-content/collections/documents/2023/03/09/plan-van-aanpak-statushouders-aan-het-werk/23_0147+Plan+van+aanpak+Statushouders+aan+het+werk.pdf,23_0147+Plan+van+aanpak+Statushouders+aan+het+werk.pdf,rijksoverheid.nl,,286621,279.9 KB,analysed,2026-09-25T20:35:03.131747+00:00,2023-04-14 07:35:34+00:00,Plan van aanpak Statushouders aan het werk,Ministerie van Sociale Zaken en Werkgelegenheid,,,,True,False,False,Pass,Pass,Pass,Pass,Pass,Pass,Pass,NotApplicable,NotApplicable,Pass,Pass,Pass,Warn,NotApplicable,False,20,7345,0,"lists-warn, "
https://open.overheid.nl/overheid/openbaarmakingen/api/v0/attachment/2ed31314-9505-429d-a717-6d601a649e87,2ed31314-9505-429d-a717-6d601a649e87.pdf,rijksoverheid.nl,open.overheid.nl,189783,185.3 KB,analysed,2026-09-25T20:35:03.135614+00:00,2026-07-15 08:23:41+00:00,,,,,,False,False,False,Pass,Pass,Pass,Fail,Pass,Pass,Pass,NotApplicable,NotApplicable,Pass,Pass,Warn,NotApplicable,NotApplicable,False,13,4981,2,"title, headings-none, "
https://open.overheid.nl/documenten/3da032ae-bebf-45ee-bdaa-9089328a82ba,3da032ae-bebf-45ee-bdaa-9089328a82ba.pdf,rijksoverheid.nl,open.overheid.nl,171451,167.4 KB,analysed,2026-09-25T20:35:03.138808+00:00,2026-06-02 13:26:15+00:00,,,,,,False,False,False,Pass,Pass,Pass,Fail,Pass,Pass,Pass,NotApplicable,NotApplicable,Pass,Pass,Warn,NotApplicable,NotApplicable,False,9,2460,2,"title, headings-none, "
https://open.overheid.nl/documenten/4520eb28-ebc2-4bc2-b0fc-6308fefa06b0,4520eb28-ebc2-4bc2-b0fc-6308fefa06b0.pdf,rijksoverheid.nl,open.overheid.nl,233611,228.1 KB,analysed,2026-09-25T20:35:03.141683+00:00,2026-05-22 16:47:52+00:00,,"Mingelen, drs. D. (David)",,,,False,False,False,Pass,Pass,Pass,Fail,Pass,Pass,Pass,NotApplicable,NotApplicable,Pass,Pass,Warn,NotApplicable,NotApplicable,False,14,5188,2,"title, headings-none, "
https://open.overheid.nl/overheid/openbaarmakingen/api/v0/attachment/645c9ca2-91f2-4cb3-aaf7-540bcc4836c6,645c9ca2-91f2-4cb3-aaf7-540bcc4836c6.pdf,rijksoverheid.nl,open.overheid.nl,91725,89.6 KB,analysed,2026-09-25T20:35:03.144092+00:00,2026-08-19 08:28:13+00:00,"Berichten minister-president Jetten op Instagram, juli 2026",Ministerie van Algemene Zaken,,,,True,False,False,Pass,Pass,Pass,Pass,Pass,Pass,Pass,NotApplicable,NotApplicable,Pass,Pass,Warn,NotApplicable,NotApplicable,False,2,716,2,"headings-none, "
https://open.overheid.nl/documenten/6c0c3794-67f2-488e-af3c-5005783b29d0,6c0c3794-67f2-488e-af3c-5005783b29d0.pdf,rijksoverheid.nl,open.overheid.nl,194526,190.0 KB,analysed,2026-09-25T20:35:03.146526+00:00,2026-05-22 16:48:53+00:00,,"Mingelen, drs. D. (David)",,,,False,False,False,Pass,Pass,Pass,Fail,Pass,Pass,Pass,NotApplicable,NotApplicable,Pass,Pass,Warn,NotApplicable,NotApplicable,False,9,2492,2,"title, headings-none, "
https://open.overheid.nl/documenten/70b2b5b2-c34f-4851-b60f-fb79e0bb1de8,70b2b5b2-c34f-4851-b60f-fb79e0bb1de8.pdf,rijksoverheid.nl,open.overheid.nl,132923,129.8 KB,analysed,2026-09-25T20:35:03.148742+00:00,2026-06-05 15:52:28+00:00,,,,,,False,False,False,Pass,Pass,Pass,Fail,Pass,Pass,Pass,NotApplicable,NotApplicable,Pass,Pass,Warn,NotApplicable,NotApplicable,False,14,4624,2,"title, headings-none, "
https://open.overheid.nl/overheid/openbaarmakingen/api/v0/attachment/7d3dd4ce-93ee-4c12-a75e-7e1668391062,7d3dd4ce-93ee-4c12-a75e-7e1668391062.pdf,rijksoverheid.nl,open.overheid.nl,182921,178.6 KB,analysed,2026-09-25T20:35:03.151061+00:00,2026-09-07 10:56:37+00:00,"Berichten minister-president Jetten op X, Bluesky en Threads, augustus 2026",Ministerie van Algemene Zaken,,,,False,False,False,Pass,Pass,Pass,Pass,Pass,Pass,Pass,NotApplicable,NotApplicable,Fail,Pass,Warn,NotApplicable,NotApplicable,False,6,2677,2,"headings-none, annotations-tagging-fail, "
https://open.overheid.nl/documenten/850f9f17-dd44-49ff-ad8c-d583febbaba4,850f9f17-dd44-49ff-ad8c-d583febbaba4.pdf,rijksoverheid.nl,open.overheid.nl,158138,154.4 KB,analysed,2026-09-25T20:35:03.153222+00:00,2026-05-22 16:49:24+00:00,,"Mingelen, drs. D. (David)",,,,False,False,False,Pass,Pass,Pass,Fail,Pass,Pass,Pass,NotApplicable,NotApplicable,Fail,Pass,Warn,NotApplicable,NotApplicable,False,3,629,2,"title, headings-none, annotations-tagging-fail, "
https://open.overheid.nl/overheid/openbaarmakingen/api/v0/attachment/9f8e9d17-a3af-4655-b4e1-10946c460afb,9f8e9d17-a3af-4655-b4e1-10946c460afb.pdf,rijksoverheid.nl,open.overheid.nl,115950,113.2 KB,analysed,2026-09-25T20:35:03.155335+00:00,2026-08-19 08:29:00+00:00,"Berichten minister-president Jetten op X, Bluesky en Threads, juli 2026",Ministerie van Algemene Zaken,,,,True,False,False,Pass,Pass,Pass,Pass,Pass,Pass,Pass,NotApplicable,NotApplicable,Pass,Pass,Warn,NotApplicable,NotApplicable,False,6,2026,2,"headings-none, "
https://unoda-web.s3-accelerate.amazonaws.com/wp-content/uploads/2013/06/English7.pdf,English7.pdf,rijksoverheid.nl,unoda-web.s3-accelerate.amazonaws.com,222240,217.0 KB,analysed,2026-09-25T20:35:03.157709+00:00,2014-06-06 16:59:18-04:00,Etpu,English_Text_Proc,,,,False,False,False,Pass,Pass,Pass,Fail,Pass,Pass,Pass,NotApplicable,NotApplicable,NotApplicable,Fail,Pass,NotApplicable,NotApplicable,True,12,4659,0,"title, figures missing alt text (count=1), "
https://www.mef.gov.it/export/sites/MEF/inevidenza/2026/article_00377/Increasing-the-Attractiveness-and-Competitiveness-of-the-European-Capital-Market.pdf,Increasing-the-Attractiveness-and-Competitiveness-of-the-European-Capital-Market.pdf,rijksoverheid.nl,mef.gov.it,282669,276.0 KB,analysed,2026-09-25T20:35:03.160260+00:00,2026-05-29 10:05:33+00:00,,,,,,False,False,False,Fail,Pass,Pass,Fail,Fail,Pass,Fail,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,False,7,1899,11,"title, tagged, lang, "
https://www.rijksoverheid.nl/site/binaries/site-content/collections/documents/2025/10/kaart-3-km/kaart-van-vervoersbeperkingsgebied-10-km-door-besmetting-vogelgriep-op-locatie-gasselternijveenschemond/KAART_2025_+GASSELTERNIJVEENSCHEMOND_01_10KM.pdf,KAART_2025_+GASSELTERNIJVEENSCHEMOND_01_10KM.pdf,rijksoverheid.nl,,849922,830.0 KB,analysed,2026-09-25T20:35:03.164053+00:00,2025-10-06 12:02:21+00:00,,,,,,False,False,False,Fail,Pass,Pass,Fail,Fail,Pass,Fail,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,False,1,11,2,"title, tagged, lang, "
https://www.rijksoverheid.nl/site/binaries/site-content/collections/documents/2025/10/kaart-3-km/kaart-van-vervoersbeperkingsgebied-3-km-door-besmetting-vogelgriep-op-locatie-gasselternijveenschemond/KAART_2025_+GASSELTERNIJVEENSCHEMOND_01_3KM.pdf,KAART_2025_+GASSELTERNIJVEENSCHEMOND_01_3KM.pdf,rijksoverheid.nl,,783902,765.5 KB,analysed,2026-09-25T20:35:03.168435+00:00,2025-10-06 12:02:19+00:00,,,,,,False,False,False,Fail,Pass,Pass,Fail,Fail,Pass,Fail,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,False,1,11,2,"title, tagged, lang, "
https://www.rijksoverheid.nl/site/binaries/site-content/collections/documents/2025/12/01/kaart-kleve-iii/KAART_2025_AI_Kleve_III_10KM.pdf,KAART_2025_AI_Kleve_III_10KM.pdf,rijksoverheid.nl,,825992,806.6 KB,analysed,2026-09-25T20:35:03.173090+00:00,2025-11-27 07:50:57+00:00,,,,,,False,False,False,Fail,Pass,Pass,Fail,Fail,Pass,Fail,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,False,1,10,4,"title, tagged, lang, "
https://www.rijksoverheid.nl/site/binaries/site-content/collections/documents/2011/09/09/kinderverhoor/Kindgesprek.pdf,Kindgesprek.pdf,rijksoverheid.nl,,847880,828.0 KB,analysed,2026-09-25T20:35:03.178295+00:00,2025-06-27 10:59:15+00:00,Kindgesprek,de rechtspraak,,,,False,False,False,Pass,Pass,Pass,Pass,Pass,Pass,Pass,NotApplicable,NotApplicable,Pass,Fail,Pass,NotApplicable,NotApplicable,False,5,964,3,"figures missing alt text (count=7), "
https://www.rijksoverheid.nl/site/binaries/site-content/collections/documents/2023/02/14/werkagenda-mbo/OCW+-+Samenvatting+Werkagenda+MBO.pdf,OCW+-+Samenvatting+Werkagenda+MBO.pdf,rijksoverheid.nl,,336412,328.5 KB,analysed,2026-09-25T20:35:03.182445+00:00,2023-05-15 08:31:21+00:00,Samenvatting werkagenda mbo 2023 - 2027,Ministerie van Onderwijs Cultuur en Wetenschap,,,,True,False,False,Pass,Pass,Pass,Pass,Pass,Pass,Pass,NotApplicable,NotApplicable,Pass,Pass,Pass,Pass,NotApplicable,False,3,824,9,
